epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8525,2.15137,3.4456,1.95198,0.00972,0.97222,0.02138,0.00725,2.06815,3.31991,1.89634,4e-05,4e-05,4e-05
2,47.356,2.01992,3.21251,1.81428,0.01,1,0.12575,0.03979,1.73411,3.14855,1.60524,9.802e-05,9.802e-05,9.802e-05
3,71.2057,1.86147,2.79666,1.65735,0.01,1,0.47862,0.25829,1.52752,2.88497,1.35505,0.000153664,0.000153664,0.000153664
4,94.3525,1.79653,2.05855,1.48865,0.01,1,0.81321,0.39886,1.52651,2.61741,1.18494,0.000206932,0.000206932,0.000206932
5,117.689,1.7876,1.7119,1.41721,0.09025,0.94444,0.82894,0.4064,1.5575,2.46703,1.18059,0.000257824,0.000257824,0.000257824
6,141.505,1.73583,1.55183,1.37964,0.05425,0.97222,0.90993,0.47505,1.4631,2.42566,1.17025,0.00030634,0.00030634,0.00030634
7,164.501,1.72042,1.61465,1.37835,0.00972,0.97222,0.91127,0.44617,1.53194,2.48771,1.1767,0.00035248,0.00035248,0.00035248
8,187.943,1.61305,1.52496,1.34343,0.01,1,0.92521,0.4482,1.5483,2.50249,1.1842,0.000396244,0.000396244,0.000396244
9,211.045,1.52948,1.42209,1.25922,0.03168,0.97222,0.90515,0.47219,1.4926,2.42929,1.16604,0.000437632,0.000437632,0.000437632
10,235.087,1.54569,1.28276,1.31047,0.96204,0.70414,0.91886,0.46559,1.53257,2.38295,1.18455,0.000476644,0.000476644,0.000476644
11,260.946,1.57616,1.31852,1.2769,1,0.55753,0.88987,0.44903,1.55244,2.29001,1.19301,0.00051328,0.00051328,0.00051328
12,285.713,1.60121,1.28473,1.29773,0.95249,0.5569,0.83915,0.39599,1.67172,2.34031,1.3042,0.00054754,0.00054754,0.00054754
13,314.46,1.63978,1.23941,1.28437,0.95908,0.65139,0.78388,0.34898,1.82208,2.39919,1.4311,0.000579424,0.000579424,0.000579424
14,343.038,1.58385,1.29099,1.29885,0.92055,0.64386,0.79121,0.39141,1.70816,2.32443,1.35063,0.000608932,0.000608932,0.000608932
15,380.215,1.58757,1.20746,1.30978,0.9244,0.67955,0.81187,0.3973,1.65633,2.23909,1.302,0.000636064,0.000636064,0.000636064
16,413.249,1.43217,1.10828,1.23492,0.92288,0.66485,0.80582,0.4072,1.65171,2.17941,1.29102,0.00066082,0.00066082,0.00066082
17,445.224,1.47087,1.17784,1.23777,0.79074,0.63889,0.64921,0.30605,1.75539,2.2059,1.40036,0.0006832,0.0006832,0.0006832
18,472.823,1.4197,1.21394,1.23324,0.88244,0.62582,0.65042,0.29618,1.73142,2.31269,1.43239,0.000703204,0.000703204,0.000703204
19,498.366,1.4596,1.10309,1.22475,0.92379,0.67361,0.79844,0.36367,1.65669,2.22582,1.26346,0.000720832,0.000720832,0.000720832
20,526.653,1.42502,1.11403,1.21052,0.92574,0.69261,0.84558,0.40538,1.62449,2.09691,1.22571,0.000736084,0.000736084,0.000736084
21,555.006,1.43183,1.14275,1.21899,0.86128,0.63889,0.74828,0.34031,1.67397,2.04937,1.3526,0.00074896,0.00074896,0.00074896
22,586.878,1.44224,1.05097,1.2164,0.85787,0.67078,0.81405,0.35211,1.6396,1.98762,1.36917,0.00075946,0.00075946,0.00075946
23,615.615,1.45003,1.01982,1.18336,0.8841,0.69444,0.83107,0.42072,1.74059,1.88005,1.3558,0.000767584,0.000767584,0.000767584
24,643.995,1.50461,1.10216,1.23954,0.82565,0.72222,0.82146,0.41741,1.72761,1.84074,1.35583,0.000773332,0.000773332,0.000773332
25,671.837,1.53344,1.08948,1.26463,0.80622,0.69343,0.824,0.43801,1.68738,1.75735,1.35038,0.000776704,0.000776704,0.000776704
26,699.45,1.31235,1.05983,1.16054,0.88535,0.80556,0.91712,0.46862,1.67832,1.59209,1.34201,0.0007777,0.0007777,0.0007777
27,729.681,1.43945,1.0427,1.26066,0.90685,0.86111,0.94757,0.465,1.74153,1.47126,1.36742,0.00077632,0.00077632,0.00077632
28,758.634,1.38023,1.12551,1.23293,0.85242,0.80228,0.8949,0.45491,1.72388,1.54079,1.3459,0.000772564,0.000772564,0.000772564
29,788.987,1.24829,1.00827,1.16116,0.85242,0.80228,0.8949,0.45491,1.72388,1.54079,1.3459,0.000766432,0.000766432,0.000766432
30,816.9,1.29976,1.01517,1.16544,0.83043,0.81639,0.89635,0.41502,1.75382,1.59862,1.35147,0.000757924,0.000757924,0.000757924
31,845.821,1.35432,1.03338,1.17932,0.78617,0.81723,0.87268,0.40676,1.78547,1.60122,1.42078,0.00074704,0.00074704,0.00074704
32,875.786,1.29332,1.00924,1.15882,0.85503,0.81934,0.91804,0.45847,1.71641,1.44526,1.36234,0.00073378,0.00073378,0.00073378
33,903.694,1.26662,0.94605,1.13,0.85503,0.81934,0.91804,0.45847,1.71641,1.44526,1.36234,0.000718144,0.000718144,0.000718144
34,932.121,1.28291,0.99295,1.17221,0.8909,0.90752,0.94093,0.49043,1.7192,1.29148,1.39192,0.0006932,0.0006932,0.0006932
35,958.739,1.24645,0.94634,1.1328,0.91971,0.86111,0.93034,0.49091,1.7019,1.28814,1.38804,0.0006536,0.0006536,0.0006536
36,987.309,1.16789,0.93563,1.10093,0.93207,0.86111,0.927,0.47814,1.68441,1.2904,1.37562,0.000614,0.000614,0.000614
37,1016.53,1.20801,0.88491,1.10882,0.93207,0.86111,0.927,0.47814,1.68441,1.2904,1.37562,0.0005744,0.0005744,0.0005744
38,1044.79,1.18772,0.92192,1.13447,0.90692,0.86111,0.92822,0.46358,1.72129,1.25309,1.40044,0.0005348,0.0005348,0.0005348
39,1074.38,1.16569,0.87985,1.10856,0.93833,0.84555,0.9281,0.45154,1.7384,1.23592,1.44456,0.0004952,0.0004952,0.0004952
40,1101.54,1.16432,0.86787,1.09666,0.93853,0.84844,0.9295,0.43506,1.7619,1.25287,1.47879,0.0004556,0.0004556,0.0004556
41,1130.01,1.20592,1.18654,1.14709,0.93853,0.84844,0.9295,0.43506,1.7619,1.25287,1.47879,0.000416,0.000416,0.000416
42,1159.88,1.2488,1.14999,1.16723,0.90985,0.86111,0.86738,0.37153,1.902,1.35674,1.59923,0.0003764,0.0003764,0.0003764
43,1189.83,1.16847,1.09577,1.09563,0.90925,0.83494,0.85293,0.36412,1.9462,1.40127,1.65267,0.0003368,0.0003368,0.0003368
44,1220.15,1.27335,1.11443,1.1344,0.92809,0.86111,0.88936,0.40352,1.79826,1.40668,1.55613,0.0002972,0.0002972,0.0002972
45,1249.25,1.11717,1.01409,1.09,0.92809,0.86111,0.88936,0.40352,1.79826,1.40668,1.55613,0.0002576,0.0002576,0.0002576
46,1280.07,1.06311,1.01318,1.05347,0.86254,0.86111,0.90634,0.44913,1.72502,1.34107,1.49778,0.000218,0.000218,0.000218
47,1309.73,1.0534,0.98215,1.03726,0.95698,0.83333,0.92816,0.45501,1.70266,1.26018,1.46877,0.0001784,0.0001784,0.0001784
48,1341.9,1.08348,1.00656,1.04103,0.91038,0.91667,0.93775,0.46489,1.70231,1.21415,1.45791,0.0001388,0.0001388,0.0001388
49,1373.87,1.10467,0.9992,1.10421,0.91038,0.91667,0.93775,0.46489,1.70231,1.21415,1.45791,9.92e-05,9.92e-05,9.92e-05
50,1405.8,1.07605,0.9803,1.09889,0.96284,0.91667,0.94131,0.47253,1.6901,1.17821,1.45178,5.96e-05,5.96e-05,5.96e-05
